booking_state,sync_status,projection_lifecycle,participation_lifecycle,classification,owner,rationale,policy_ref
EXPIRED,PENDING,TOMBSTONED_HARD,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PENDING,TOMBSTONED_HARD,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PENDING,TOMBSTONED_HARD,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PROCESSING,ACTIVE,NEEDS_ACTION,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,PROCESSING,ACTIVE,ACCEPTED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,PROCESSING,ACTIVE,TENTATIVE,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,PROCESSING,ACTIVE,DECLINED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,PROCESSING,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PROCESSING,TOMBSTONED_SOFT,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PROCESSING,TOMBSTONED_SOFT,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PROCESSING,TOMBSTONED_SOFT,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PROCESSING,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PROCESSING,TOMBSTONED_HARD,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PROCESSING,TOMBSTONED_HARD,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PROCESSING,TOMBSTONED_HARD,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,SYNCED,ACTIVE,NEEDS_ACTION,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,SYNCED,ACTIVE,ACCEPTED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,SYNCED,ACTIVE,TENTATIVE,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,SYNCED,ACTIVE,DECLINED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,SYNCED,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,SYNCED,TOMBSTONED_SOFT,ACCEPTED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,SYNCED,TOMBSTONED_SOFT,TENTATIVE,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,SYNCED,TOMBSTONED_SOFT,DECLINED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,SYNCED,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,SYNCED,TOMBSTONED_HARD,ACCEPTED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,SYNCED,TOMBSTONED_HARD,TENTATIVE,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,SYNCED,TOMBSTONED_HARD,DECLINED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,FAILED,ACTIVE,NEEDS_ACTION,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,FAILED,ACTIVE,ACCEPTED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,FAILED,ACTIVE,TENTATIVE,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,FAILED,ACTIVE,DECLINED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,FAILED,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,FAILED,TOMBSTONED_SOFT,ACCEPTED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,FAILED,TOMBSTONED_SOFT,TENTATIVE,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,FAILED,TOMBSTONED_SOFT,DECLINED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
